Iteration,Year ,lambda
1,2,1.01
1,3,1.01
1,4,1.01
1,5,1.08
1,6,1.09
1,7,1.08
1,8,1.06
1,9,1.04
1,10,1.04
1,11,1.04
1,12,1.03
1,13,1.01
1,14,1.01
1,15,1.01
1,16,1.00
1,17,1.00
1,18,1.00
1,19,1.00
1,20,1.01
1,21,1.01
1,22,1.01
1,23,1.01
1,24,1.01
1,25,1.01
1,26,1.01
2,2,1.00
2,3,1.01
2,4,1.01
2,5,1.09
2,6,1.09
2,7,1.08
2,8,1.04
2,9,1.05
2,10,1.04
2,11,1.02
2,12,1.02
2,13,1.02
2,14,1.02
2,15,1.01
2,16,1.01
2,17,1.01
2,18,1.01
2,19,1.01
2,20,1.01
2,21,1.00
2,22,1.00
2,23,1.01
2,24,1.02
2,25,1.01
2,26,1.02
3,2,1.00
3,3,1.00
3,4,1.01
3,5,1.09
3,6,1.10
3,7,1.09
3,8,1.05
3,9,1.05
3,10,1.04
3,11,1.03
3,12,1.02
3,13,1.02
3,14,1.01
3,15,1.01
3,16,1.00
3,17,1.01
3,18,1.00
3,19,1.01
3,20,1.00
3,21,1.01
3,22,1.01
3,23,1.01
3,24,1.01
3,25,1.02
3,26,1.02
4,2,1.00
4,3,1.01
4,4,1.00
4,5,1.07
4,6,1.10
4,7,1.07
4,8,1.06
4,9,1.05
4,10,1.03
4,11,1.03
4,12,1.02
4,13,1.02
4,14,1.02
4,15,1.02
4,16,1.01
4,17,1.01
4,18,1.00
4,19,1.01
4,20,1.01
4,21,1.01
4,22,1.01
4,23,1.01
4,24,1.00
4,25,1.01
4,26,1.01
5,2,1.00
5,3,1.01
5,4,1.00
5,5,1.09
5,6,1.08
5,7,1.07
5,8,1.05
5,9,1.04
5,10,1.03
5,11,1.04
5,12,1.02
5,13,1.02
5,14,1.01
5,15,1.01
5,16,1.01
5,17,1.00
5,18,1.01
5,19,1.01
5,20,1.02
5,21,1.02
5,22,1.01
5,23,1.01
5,24,1.01
5,25,1.01
5,26,1.01
